market_id,question,category,yes_resolved,created_at,closed_time,end_date,volume,volume24hr,volume1wk,volume1mo,last_trade_price,one_day_price_change,one_week_price_change,one_month_price_change
1437238,"Will Israel strike Lebanon on March 1, 2026?",Geopolitics,0,2026-02-25T18:47:41.490618Z,2026-04-25T10:49:54Z,2026-03-31T00:00:00Z,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0
1437240,"Will Israel strike Lebanon on March 3, 2026?",Geopolitics,1,2026-02-25T18:47:43.469614Z,2026-04-25T10:49:54Z,2026-03-31T00:00:00Z,235906.213434,0.0,235906.21343399998,235906.21343399998,0.999,0.0,0.0,0.0
1437242,"Will Israel strike Lebanon on March 5, 2026?",Geopolitics,1,2026-02-25T18:47:45.407611Z,2026-04-25T10:49:54Z,2026-03-31T00:00:00Z,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0.0
1437244,"Will Israel strike Lebanon on March 7, 2026?",Geopolitics,1,2026-02-25T18:47:47.236149Z,2026-04-25T10:49:54Z,2026-03-31T00:00:00Z,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0.0
1437246,"Will Israel strike Lebanon on March 9, 2026?",Geopolitics,1,2026-02-25T18:47:49.485769Z,2026-04-25T10:49:54Z,2026-03-31T00:00:00Z,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0.0
1437256,"Will Israel strike Lebanon on March 19, 2026?",Geopolitics,1,2026-02-25T18:47:59.52141Z,2026-04-25T10:49:54Z,2026-03-31T00:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1437258,"Will Israel strike Lebanon on March 21, 2026?",Geopolitics,1,2026-02-25T18:48:01.878669Z,2026-04-25T10:49:54Z,2026-03-31T00:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1437260,"Will Israel strike Lebanon on March 23, 2026?",Geopolitics,1,2026-02-25T18:48:04.119791Z,2026-04-25T10:49:54Z,2026-03-31T00:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1437262,"Will Israel strike Lebanon on March 25, 2026?",Geopolitics,1,2026-02-25T18:48:06.142709Z,2026-04-25T10:49:54Z,2026-03-31T00:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1437264,"Will Israel strike Lebanon on March 27, 2026?",Geopolitics,1,2026-02-25T18:48:09.385227Z,2026-04-25T10:49:54Z,2026-03-31T00:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1437266,"Will Israel strike Lebanon on March 29, 2026?",Geopolitics,1,2026-02-25T18:48:11.420109Z,2026-04-25T10:49:54Z,2026-03-31T00:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
